"kat","Ap1k","Ap2k","Ayk"
"Numenius_phaeopus",-0.0397247500060182,-0.0251257324600171,-0.544957774357595
"Oenanthe_oenanthe",-0.0419486970476,-0.038549799329102,-0.196043016946237
"Pandion_haliaetus",0.0254828780495081,0.0197236980803553,-0.142403337908488
"Parus_ater",0.0440544229253649,0.0531196687583692,-0.133097212756772
"Parus_caeruleus",0.0444503627443847,0.124195140080539,0.198504295183462
"Parus_cristatus",0.0119682236928566,0.0277536543498507,0.0116831812929034
"Parus_major",0.115316348748315,0.190048676771809,0.229133118108601
"Parus_montanus",-0.0188603369446819,-0.0261254677812619,-0.201937924542012
"Parus_palustris",-0.0105519351224404,0.0116056534678908,-0.129264937330877
"Passer_domesticus",-0.0529892073568842,-0.0309578521916113,-0.336839777614073
"Passer_montanus",0.0852606956497688,0.0702210339398834,0.10279772066839
"Perisoreus_infaustus",0.0113751810477815,-0.00592750110249906,0.080867171065327
"Phalacrocorax_carbo",0.0110671917205231,0.0409959587766228,0.0403143098554088
"Phasianus_colchicus",0.137496017556277,0.112509061942292,-0.3417553891231
"Phoenicurus_phoenicurus",-0.128770327387101,-0.133896737140181,0.0947668530862819
"Phylloscopus_collybita",-0.0116134588440945,0.0523207718745729,0.741958482878854
"Phylloscopus_sibilatrix",0.117532019276371,0.0925605951291895,-0.0775002515152803
"Phylloscopus_trochilus",-0.000139335498177129,0.0268563174598183,-0.179541842773115
"Pica_pica",-0.0260832480803337,-0.0152194659568684,-0.14205653144433
"Picus_viridis",-0.0523813324549257,-0.0108634264829359,-0.176154463107598
"Pluvialis_apricaria",-0.0802286690373681,-0.0553549143877247,-0.0471378330916906
"Podiceps_cristatus",0.0541459937802857,0.0756048402785574,-0.0555690203273999
"Prunella_modularis",0.0515458223996016,0.0569382930771847,-0.031146418922765
"Pyrrhula_pyrrhula",-0.0591648156983822,-0.0284263166559941,0.0288919910645856
"Regulus_regulus",0.0913765275834483,0.119229609404789,-0.375923545617246
"Saxicola_rubetra",-0.00618800157804636,-0.00375757599104651,-0.114329404055097
"Scolopax_rusticola",-0.0173137200678886,-0.00547605674187961,-0.0644097728173357
"Sitta_europaea",0.0260735428757939,0.0640895941914945,0.0481106390155286
"Sterna_hirundo",0.0671774067857878,0.0559326392135434,0.230332541285505
"Sturnus_vulgaris",0.244252246233957,0.201438130009147,-0.304685723228594
"Sylvia_atricapilla",0.163741310398667,0.311450385921477,0.679163510259063
"Sylvia_borin",0.0830210984849598,0.129527285628626,-0.0486224016006107
"Sylvia_communis",0.136388994538873,0.127914883163869,0.120723890183214
"Sylvia_curruca",0.047871277964659,0.0601018891000866,-0.0718298712768537
"Tetrao_tetrix",0.0637739034766568,0.0328352827843773,-0.199655906017768
"Tetrao_urogallus",-0.0325010380798105,-0.027612504976737,-0.0682729610144982
"Tringa_glareola",-0.128547538142456,-0.100919999838696,-0.0631387274696915
