"selroutes","pa_corA","pa_corB","pa_corC","pa_corD","route.x","abu_corA","abu_corB","abu_corC","abu_corD","route.y"
"Route_0000003919",0.803039929749284,0.748084253368827,,,1632,0.737268922680942,0.777949209741667,,,1632
"Route_0000003921",0.724547589962532,0.659268334883388,,,1633,0.78689602966022,0.751595899868007,,,1633
"Route_0000003924",0.790855341905423,0.75334821849343,,,1636,0.539266189168529,0.381147466524655,,,1636
"Route_0000003927",0.763119700081574,0.706065889117929,,,1638,0.78899698085701,0.624713603448409,,,1638
"Route_0000003930",0.564816641856639,0.543056851534924,,,1639,0.373131765281925,0.37370071645815,,,1639
"Route_0000003933",0.635306974902022,0.593597653941377,,,1641,0.751154503945246,0.652414739635417,,,1641
"Route_0000003935",0.755704186855232,0.712034953534072,,,1643,0.817671749860572,0.772147558782265,,,1643
"Route_0000004001",0.636485878793361,0.600448459704718,,,1644,0.642362649272308,0.684966075666513,,,1644
"Route_0000004003",0.803993050648122,0.752537237841165,,,1645,0.725179151863638,0.765644933743646,,,1645
"Route_0000004004",0.749985513766891,0.671366082084245,,,1646,0.858179241990562,0.846387499859119,,,1646
"Route_0000004008",0.631545438543778,0.504286827090002,,,1647,0.488542242866873,0.406875039475249,,,1647
"Route_0000004009",0.556063631846946,0.468443667434827,,,1648,0.740128131605703,0.675230305696196,,,1648
"Route_0000004015",0.678463354955356,0.638239111055293,,,1651,0.727349520754464,0.636547045545482,,,1651
"Route_0000004019",0.591787375818076,0.479382914526063,,,1653,0.760726821910405,0.699011684163665,,,1653
"Route_0000004024",0.523302599625103,0.523405647978044,,,1658,0.638048840428283,0.667973564799143,,,1658
"Route_0000004025",0.545664798508846,0.421942974946745,,,1659,0.696546230674596,0.679422963927829,,,1659
"Route_0000004026",0.747637187384676,0.61089255032479,,,1660,0.753552079378288,0.778173071696249,,,1660
"Route_0000004028",0.607383241904292,0.566766178077423,,,1662,0.715485110421889,0.689246105746194,,,1662
"Route_0000004032",0.790427692037223,0.711212821595197,,,1665,0.853238196898709,0.833978503913062,,,1665
"Route_0000004036",0.707894649874635,0.634387434712227,,,1666,0.868025588001797,0.751883395850398,,,1666
"Route_0000004040",0.736056887765148,0.6971779206682,,,1668,0.661845922973372,0.618312533473382,,,1668
"Route_0000004041",0.789878310779493,0.683629938675923,,,1669,0.686624736943281,0.643376432570548,,,1669
"Route_0000004051",0.453603679534389,0.412901927259896,,,1677,0.726247877009515,0.764907707000208,,,1677
"Route_0000004053",0.625046953479737,0.489374226520532,,,1679,0.699700778544921,0.431061220796908,,,1679
"Route_0000004054",0.679487734476808,0.586239545579654,,,1680,0.61051204399646,0.461280104400898,,,1680
"Route_0000004058",0.677404926752928,0.662745337472807,,,1684,0.777003276137753,0.836035135636665,,,1684
"Route_0000004061",0.806789699288411,0.634548558013524,,,1687,0.73220165625086,0.705190532133073,,,1687
"Route_0000004065",0.84665467956876,0.765145527820404,,,1689,0.677181017271484,0.701960262960177,,,1689
"Route_0000004068",0.568410346686406,0.463811327429525,,,1690,0.655394395343152,0.403059513973039,,,1690
