"species","pa_t1","pa_t3","pa_t4"
"Pandion_haliaetus",NA,0.0599064486016723,0.21954443125482
"Parus_ater",0.113846698139549,-0.0065196460450494,-0.165258083196171
"Parus_caeruleus",0.0372256275028163,-0.127532288492976,0.135889062578265
"Parus_cristatus",0.0525159338962725,-0.152039800520599,0.191976590622876
"Parus_major",0.0211284720762311,0.390218755358672,0.183051114043638
"Parus_montanus",-0.0995549604774511,0.047117764846678,0.0144545294518421
"Parus_palustris",-0.387218479949085,-0.026014642514479,-0.0778989868764354
"Passer_domesticus",NA,0.000849417585795552,-0.0156554309115436
"Passer_montanus",-0.0967084290931463,-0.368183448730178,0.000564383253724643
"Perisoreus_infaustus",-0.0346587541485543,-0.00141638182555987,0.244002643261325
"Phalacrocorax_carbo",0.634655772267141,0.288122569308499,0.146723163196445
