route,x,y
295,5266.7,4637.4
296,5290.5,4641.2
297,4945.4,4580.
298,4968.8,4586.1
299,4993.3,4594.9
300,5017.6,4601.
301,5041.9,4607.2
302,5066.1,4613.2
303,5089.5,4618.7
304,5114.8,4624.
305,5138.9,4631.5
306,5163.2,4637.6
307,5186.7,4642.4
308,5210.8,4648.9
309,5236.,4655.6
310,5260.2,4661.6
311,5283.9,4665.7
312,4986.8,4619.
313,5011.5,4623.5
314,5035.4,4631.3
315,5059.8,4635.4
316,5084.,4641.1
317,5108.3,4649.1
318,5132.6,4655.2
319,5155.7,4661.3
320,5181.2,4666.8
321,5205.2,4673.8
322,5229.2,4680.7
323,5253.8,4685.8
324,5278.5,4690.8
325,5302.3,4697.7
326,5004.6,4649.2
327,5028.1,4656.2
328,5052.9,4659.4
329,5076.3,4666.1
330,5100.7,4673.5
331,5126.2,4679.
332,5147.2,4693.3
333,5174.4,4688.3
334,5197.8,4697.7
335,5223.,4703.9
336,5247.5,4708.8
337,5270.1,4713.5
338,5295.4,4719.5
339,5022.3,4679.5
340,5046.6,4685.6
341,5070.8,4691.7
342,5095.4,4697.
343,5119.4,4703.9
344,5143.5,4710.9
345,5168.,4716.
346,5192.,4723.
347,5216.5,4728.1
348,5240.2,4733.9
349,5265.5,4738.1
350,5015.8,4703.4
351,5040.1,4709.7
352,5063.6,4714.4
353,5088.7,4721.9
354,5112.4,4726.1
355,5138.2,4734.3
356,5161.7,4739.2
357,5184.,4745.2
358,5209.6,4750.
359,5235.2,4757.9
360,5256.3,4761.1
361,5008.3,4727.4
362,5048.1,4735.6
363,5058.8,4740.1
364,5082.1,4746.
365,5106.4,4752.1
366,5130.4,4759.2
367,5154.5,4762.1
368,5179.3,4770.3
369,5205.,4774.9
370,5226.8,4782.1
371,5051.3,4764.
372,5075.6,4770.
373,5099.9,4776.2
374,5124.8,4779.8
375,5149.9,4786.7
376,5172.7,4794.4
377,5197.,4800.5
378,5221.3,4804.4
379,5045.3,4786.1
380,5069.,4794.2
381,5092.9,4798.2
382,5117.6,4806.4
383,5141.9,4812.5
384,5166.2,4818.5
385,5190.5,4824.6
386,5214.4,4828.2
387,5014.9,4806.2
388,5038.5,4811.2
389,5062.5,4818.3
390,5086.1,4823.2
391,5111.6,4828.6
392,5135.4,4836.6
393,5159.7,4842.6
394,5183.5,4848.5
395,5208.2,4854.7
396,4983.,4823.9
397,5006.9,4827.9
398,5031.6,4836.2
399,5056.4,4840.5
400,5080.5,4847.5
401,5104.1,4852.4
402,5128.,4859.9
403,5153.5,4864.8
404,5176.9,4871.1
405,5204.2,4877.2
