"kat","Ap1k","Ap2k","Ayk"
"Muscicapa_striata",-0.00259797728955854,0.00645838907477396,0.000315656565656564
"Numenius_arquata",-0.0173806264594581,-0.0317935587415783,-0.0296717171717172
"Numenius_phaeopus",-0.0255959875016188,-0.0227562432959657,0.000315656565656565
"Oenanthe_oenanthe",-0.0319469552435687,-0.0775314341175914,-0.0858585858585859
"Pandion_haliaetus",0.0076156818442956,0.00583372380952568,-0.0192550505050505
"Parus_ater",0.0477760451572368,0.0265081152387913,-0.0669191919191919
"Parus_caeruleus",0.0623833139500701,0.109457891488803,0.0359848484848485
"Parus_cristatus",0.0510530512928743,0.0482531603651856,0.0505050505050505
"Parus_major",0.0404204036712248,0.075030886628723,0.0735479797979798
"Parus_montanus",-0.00834553006858698,-0.0644383856867034,-0.0830176767676768
"Parus_palustris",0.0558556268333053,-0.00495819977247616,-0.00883838383838384
