"Route","Year"
"Route_0000000075","Year_2014"
"Route_0000000076","Year_2008"
"Route_0000000076","Year_2013"
"Route_0000000076","Year_2014"
"Route_0000000077","Year_2009"
"Route_0000000077","Year_2011"
"Route_0000000077","Year_2012"
"Route_0000000077","Year_2013"
"Route_0000000077","Year_2014"
"Route_0000000078","Year_2007"
"Route_0000000078","Year_2011"
"Route_0000000078","Year_2012"
"Route_0000000078","Year_2013"
"Route_0000000078","Year_2014"
"Route_0000000079","Year_2009"
"Route_0000000079","Year_2012"
"Route_0000000079","Year_2014"
"Route_0000000080","Year_2008"
"Route_0000000080","Year_2011"
"Route_0000000080","Year_2013"
"Route_0000000080","Year_2014"
"Route_0000000081","Year_2008"
"Route_0000000081","Year_2010"
"Route_0000000081","Year_2014"
"Route_0000000082","Year_2009"
"Route_0000000082","Year_2010"
"Route_0000000082","Year_2014"
"Route_0000000083","Year_2008"
"Route_0000000083","Year_2010"
"Route_0000000083","Year_2012"
"Route_0000000083","Year_2014"
"Route_0000000084","Year_2008"
"Route_0000000084","Year_2010"
"Route_0000000084","Year_2011"
"Route_0000000084","Year_2012"
"Route_0000000084","Year_2013"
"Route_0000000084","Year_2014"
"Route_0000000085","Year_2006"
"Route_0000000085","Year_2007"
"Route_0000000085","Year_2010"
"Route_0000000085","Year_2011"
"Route_0000000085","Year_2012"
"Route_0000000085","Year_2013"
"Route_0000000085","Year_2014"
"Route_0000000086","Year_2006"
"Route_0000000086","Year_2009"
"Route_0000000086","Year_2010"
"Route_0000000086","Year_2011"
"Route_0000000086","Year_2012"
"Route_0000000086","Year_2013"
"Route_0000000086","Year_2014"
"Route_0000000087","Year_2006"
"Route_0000000087","Year_2010"
"Route_0000000087","Year_2011"
"Route_0000000087","Year_2012"
"Route_0000000087","Year_2013"
"Route_0000000087","Year_2014"
"Route_0000000088","Year_2010"
"Route_0000000088","Year_2013"
"Route_0000000089","Year_2006"
"Route_0000000089","Year_2013"
"Route_0000000089","Year_2014"
"Route_0000000090","Year_2006"
"Route_0000000090","Year_2013"
"Route_0000000090","Year_2014"
"Route_0000000092","Year_2006"
"Route_0000000092","Year_2008"
"Route_0000000092","Year_2012"
"Route_0000000092","Year_2013"
"Route_0000000092","Year_2014"
"Route_0000000093","Year_2009"
"Route_0000000093","Year_2011"
"Route_0000000093","Year_2014"
"Route_0000000094","Year_2009"
"Route_0000000094","Year_2013"
"Route_0000000094","Year_2014"
"Route_0000000095","Year_2009"
"Route_0000000095","Year_2012"
"Route_0000000095","Year_2013"
"Route_0000000095","Year_2014"
"Route_0000000096","Year_2009"
"Route_0000000096","Year_2012"
"Route_0000000096","Year_2013"
"Route_0000000096","Year_2014"
"Route_0000000097","Year_2006"
"Route_0000000097","Year_2007"
"Route_0000000097","Year_2008"
"Route_0000000097","Year_2009"
"Route_0000000097","Year_2010"
"Route_0000000097","Year_2011"
"Route_0000000097","Year_2012"
"Route_0000000097","Year_2013"
"Route_0000000097","Year_2014"
"Route_0000000098","Year_2008"
"Route_0000000098","Year_2011"
"Route_0000000098","Year_2012"
"Route_0000000098","Year_2013"
"Route_0000000098","Year_2014"
"Route_0000000099","Year_2010"
"Route_0000000099","Year_2011"
"Route_0000000100","Year_2009"
"Route_0000000100","Year_2010"
