"species","abu_t1","abu_t3","abu_t4"
"Perisoreus_infaustus",NA,-0.135594070158356,NA
"Phalacrocorax_carbo",NA,-0.123366618750272,0.0900130434524577
"Phasianus_colchicus",NA,-0.176556560688908,0.020893185661913
"Phoenicurus_phoenicurus",0.0834030063803202,-0.153459956822149,0.259796932857518
"Phylloscopus_collybita",0.38313275212997,-0.13423960617939,-0.365990705557898
"Phylloscopus_sibilatrix",1,-0.0345841142689446,-0.167581705417643
"Phylloscopus_trochilus",0.196060060732146,0.0387777962636838,0.0423039986371859
"Pica_pica",-0.0810897217713592,0.0224598378592386,0.0849576106196423
"Picus_viridis",NA,0.330447132195782,-0.0964540973204078
"Pluvialis_apricaria",NA,0.179541537840085,0.165195619516451
"Podiceps_cristatus",NA,-0.550775623137551,-0.276400282876329
