route;x;y
525;5024700;5142500
526;5048300;5148700
527;4798500;5108200
528;4822300;5116400
529;4946000;5148400
530;4969000;5152200
531;4993700;5160600
532;5016400;5165500
533;5042400;5172900
534;5066800;5179000
535;4767900;5127700
536;4792200;5134300
537;4962600;5178300
538;4986900;5184300
539;5011200;5190700
540;5044300;5196200
541;5059200;5202800
542;4762900;5152300
543;4785500;5157800
544;4955900;5202200
545;4980800;5206600
546;5004500;5212600
547;5028000;5220600
548;5053900;5225100
549;4949100;5226100
550;4973500;5232400
551;4998800;5238800
552;5018900;5241800
553;5046200;5248700
554;5070000;5256800
555;4942600;5249100
556;4966700;5256300
557;4990300;5261500
558;5014700;5267600
559;5040100;5273900
560;4959900;5280200
561;4984100;5286000
562;5008700;5292500
563;4523492;3608654
564;4521166;3636537
565;4547412;3610616
566;4575321;3612900
567;4545088;3638503
568;4572998;3640790
569;4495246;3658462
570;4519167;3660435
571;4493241;3682354
572;4517163;3684331
573;4543090;3662404
574;4571002;3664695
575;4541088;3686303
576;4569002;3688597
577;4594928;3666653
578;4618855;3668607
579;4592929;3690558
580;4616857;3692514
581;4640785;3694465
582;4668701;3696734
583;4692628;3698673
584;4716553;3700608
585;4491231;3706244
586;4515155;3708225
587;4488880;3734114
588;4512806;3736098
589;4539081;3710200
590;4566997;3712497
591;4536734;3738077
592;4564652;3740378
593;4590926;3714461
594;4614855;3716419
595;4588583;3742345
596;4612514;3744306
597;4638785;3718372
598;4666702;3720643
599;4636446;3746261
600;4664366;3748535
601;4690631;3722584
602;4714558;3724520
603;4688296;3750478
604;4460908;3779885
605;4486860;3757999
606;4510788;3759987
607;4484835;3781882
608;4508765;3783873
609;4534718;3761969
610;4562637;3764274
611;4532696;3785859
612;4560618;3788167
613;4586570;3766243
614;4610503;3768206
615;4584552;3790139
616;4608487;3792104
617;4634436;3770164
618;4662358;3772440
619;4632423;3794064
620;4660347;3796342
621;4686291;3774384
622;4710222;3776323
623;4684281;3798288
624;4708214;3800228
625;4734151;3778255
626;4831835;3810148
627;4458877;3803762
628;4456501;3831615
629;4482806;3805763
630;4506737;3807758
631;4480432;3833620
632;4504366;3835619
633;4530670;3809746
634;4558595;3812058
635;4528301;3837611
636;4556228;3839927
637;4582531;3814032
638;4606468;3816000
639;4580167;3841904
640;4604106;3843875
641;4630405;3817962
642;4658331;3820242
643;4628045;3845839
644;4655974;3848122
645;4682267;3822190
646;4706203;3824131
647;4679913;3850072
648;4703851;3852014
649;4829834;3834053
650;4827495;3861940
651;4426541;3853134
652;4454459;3855486
653;4424492;3876998
654;4452413;3879355
655;4478392;3857495
656;4502328;3859497
657;4476348;3881368
658;4500286;3883373
659;4526266;3861493
660;4554195;3863812
661;4524225;3885372
662;4552157;3887694
663;4578135;3865792
664;4602077;3867765
665;4576100;3889677
666;4600043;3891653
667;4626018;3869732
668;4653950;3872017
669;4623987;3893621
670;4651921;3895909
671;4677891;3873968
672;4701831;3875912
673;4675865;3897861
674;4699807;3899806
675;4825487;3885841
676;4853398;3888056
677;4398507;3898822
678;4396104;3926656
679;4422439;3900859
680;4450362;3903221
681;4420036;3928693
682;4447962;3931060
683;4474299;3905237
684;4498239;3907246
685;4471902;3933081
686;4495845;3935094
687;4522181;3909248
688;4550115;3911574
689;4519789;3937100
690;4547727;3939429
691;4598006;3915537
692;4571675;3941418
693;4621952;3917508
694;4649889;3919798
695;4619572;3945372
696;4647512;3947664
697;4673834;3921752
698;4697779;3923698
699;4671461;3949621
700;4695408;3951569
701;4721722;3925637
702;4719354;3953509
